Behaviour,occurrence,Actor,Receiver,T_start,T_stop,treatment_rep,treatment,time_sec
SG,1,11,,2021-03-16T12:14:20.045615362Z,2021-03-16T12:14:46.545762662Z,R3SP,post,26.00000042
SG,1,12,,2021-03-16T12:13:22.170095934Z,2021-03-16T12:13:45.670261028Z,R3SP,post,22.99999972
SG,1,12,,2021-03-16T12:22:44.924042475Z,2021-03-16T12:22:57.174162069Z,R3SP,post,12.9999999
SG,1,13,,2021-03-16T12:14:32.670678375Z,2021-03-16T12:14:53.170778216Z,R3SP,post,20.99999988
SG,1,13,,2021-03-16T12:15:12.170929531Z,2021-03-16T12:15:25.796018277Z,R3SP,post,12.9999999
SG,1,13,,2021-03-16T12:15:42.796096356Z,2021-03-16T12:15:47.671174342Z,R3SP,post,4.999999912
SG,1,13,,2021-03-16T12:15:53.296234844Z,2021-03-16T12:16:15.796383851Z,R3SP,post,21.99999948
CR,1,13,27,2021-03-16T12:21:22.298427890Z,2021-03-16T12:23:19.174460565Z,R3SP,post,117.0000003
SG,1,13,,2021-03-16T12:24:41.424906307Z,2021-03-16T12:25:14.425084582Z,R3SP,post,33.00000017
SG,1,13,,2021-03-16T12:25:19.175119147Z,2021-03-16T12:25:21.925154717Z,R3SP,post,1.999999839
CR,1,20,14,2021-03-16T12:15:34.296090322Z,2021-03-16T12:15:43.671134680Z,R3SP,post,8.999999589
SG,1,14,,2021-03-16T12:15:52.671202007Z,2021-03-16T12:15:54.921214021Z,R3SP,post,1.999999839
G,1,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP,post,15.99999997
SG,1,14,,2021-03-16T12:20:42.298163231Z,2021-03-16T12:20:46.923251406Z,R3SP,post,4.000000306
SG,1,15,,2021-03-16T12:21:04.673368930Z,2021-03-16T12:21:07.548370250Z,R3SP,post,3.000000073
SG,1,15,,2021-03-16T12:21:40.173633297Z,2021-03-16T12:22:03.048808830Z,R3SP,post,22.99999972
SG,1,15,,2021-03-16T12:22:06.548748257Z,2021-03-16T12:26:36.175668283Z,R3SP,post,270.0000003
FR,1,15,3,2021-03-16T12:25:01.425039963Z,2021-03-16T12:25:04.675016900Z,R3SP,post,3.000000073
SG,1,15,,2021-03-16T12:26:39.175680341Z,2021-03-16T12:27:03.800920671Z,R3SP,post,23.99999995
FR,1,6,15,2021-03-16T12:27:11.425924465Z,2021-03-16T12:27:16.801085434Z,R3SP,post,4.999999912
SG,1,15,,2021-03-16T12:27:20.051295450Z,2021-03-16T12:27:56.301382566Z,R3SP,post,36.00000024
SG,1,15,,2021-03-16T12:28:11.051318377Z,2021-03-16T12:28:21.801410429Z,R3SP,post,9.999999823
SG,1,16,,2021-03-16T12:20:42.298163231Z,2021-03-16T12:21:29.673554986Z,R3SP,post,47.0000003
SG,1,16,,2021-03-16T12:21:33.423520532Z,2021-03-16T12:21:36.798648416Z,R3SP,post,3.000000073
TB,1,16,,2021-03-16T12:22:17.173878032Z,2021-03-16T12:22:17.173878032Z,R3SP,post,0
TB,1,16,,2021-03-16T12:22:44.549110432Z,2021-03-16T12:22:50.799154Z,R3SP,post,6.000000145
CB,1,16,,2021-03-16T12:22:58.799131245Z,2021-03-16T12:23:15.549329069Z,R3SP,post,16.99999957
SG,1,16,,2021-03-16T12:23:28.299386710Z,2021-03-16T12:23:35.674440702Z,R3SP,post,7.000000379
SG,1,16,,2021-03-16T12:24:48.549901329Z,2021-03-16T12:24:54.675000662Z,R3SP,post,5.999999517
SG,1,16,,2021-03-16T12:24:59.175035502Z,2021-03-16T12:25:02.550048714Z,R3SP,post,2.999999444
SG,1,16,,2021-03-16T12:25:55.675437658Z,2021-03-16T12:26:01.050478319Z,R3SP,post,6.000000145
SG,1,16,,2021-03-16T12:26:17.675547041Z,2021-03-16T12:26:53.550844562Z,R3SP,post,35.99999961
TQ,1,16,29,2021-03-16T12:27:07.801273829Z,2021-03-16T12:27:24.551057851Z,R3SP,post,17.0000002
G,1,26,17,2021-03-16T12:13:22.045100744Z,2021-03-16T12:14:29.170660433Z,R3SP,post,66.99999995
CR,1,4,17,2021-03-16T12:13:47.295273318Z,2021-03-16T12:13:49.170286550Z,R3SP,post,2.000000468
G,1,23,17,2021-03-16T12:14:20.920574587Z,2021-03-16T12:14:27.545628334Z,R3SP,post,7.000000379
A,1,23,17,2021-03-16T12:14:27.295608111Z,2021-03-16T12:14:38.295644065Z,R3SP,post,11.00000006
G,1,23,17,2021-03-16T12:14:40.420656092Z,2021-03-16T12:14:46.295740202Z,R3SP,post,6.000000145
G,1,26,17,2021-03-16T12:14:42.920693346Z,2021-03-16T12:15:44.671107482Z,R3SP,post,62.00000003
G,1,26,17,2021-03-16T12:16:02.796223912Z,2021-03-16T12:16:16.796392624Z,R3SP,post,14.00000013
G,1,20,17,2021-03-16T12:16:13.296355954Z,2021-03-16T12:16:16.296383185Z,R3SP,post,3.000000073
G,1,23,17,2021-03-16T12:16:50.921552663Z,2021-03-16T12:17:02.296629230Z,R3SP,post,12.00000029
G,1,26,17,2021-03-16T12:16:56.796653335Z,2021-03-16T12:17:13.296772174Z,R3SP,post,17.0000002
G,1,26,17,2021-03-16T12:17:16.046748403Z,2021-03-16T12:17:22.546824029Z,R3SP,post,6.000000145
A,1,26,17,2021-03-16T12:17:22.546824029Z,2021-03-16T12:17:24.171835315Z,R3SP,post,1.999999839
G,1,26,17,2021-03-16T12:17:26.171797232Z,2021-03-16T12:17:47.672011526Z,R3SP,post,20.99999988
A,1,26,17,2021-03-16T12:17:49.297018647Z,2021-03-16T12:17:50.921968859Z,R3SP,post,1.000000234
G,1,26,17,2021-03-16T12:17:53.672044709Z,2021-03-16T12:18:19.172162274Z,R3SP,post,25.99999979
CR,1,23,17,2021-03-16T12:17:56.172048669Z,2021-03-16T12:17:59.297075861Z,R3SP,post,3.000000073
G,1,2,17,2021-03-16T12:20:55.673314746Z,2021-03-16T12:22:04.798832615Z,R3SP,post,69.00000041
SG,1,17,,2021-03-16T12:22:44.049069662Z,2021-03-16T12:22:46.299103538Z,R3SP,post,1.999999839
SG,1,17,,2021-03-16T12:23:44.924498322Z,2021-03-16T12:23:47.924454290Z,R3SP,post,3.000000073
SG,1,17,,2021-03-16T12:25:19.675161712Z,2021-03-16T12:25:32.175269428Z,R3SP,post,12.9999999
CR,1,24,17,2021-03-16T12:27:03.675904868Z,2021-03-16T12:27:12.925990796Z,R3SP,post,9.000000218
G,1,24,17,2021-03-16T12:27:12.925990796Z,2021-03-16T12:27:58.176301183Z,R3SP,post,46.00000007
G,1,18,5,2021-03-16T12:13:33.420223611Z,2021-03-16T12:13:45.295310756Z,R3SP,post,11.99999966
SG,1,18,,2021-03-16T12:13:50.920357754Z,2021-03-16T12:13:56.670347709Z,R3SP,post,6.000000145
SG,1,18,,2021-03-16T12:14:02.920405318Z,2021-03-16T12:14:10.170488133Z,R3SP,post,7.999999984
T,1,18,1,2021-03-16T12:16:16.421366854Z,2021-03-16T12:16:22.296408408Z,R3SP,post,6.000000145
T,1,18,7,2021-03-16T12:18:39.047350340Z,2021-03-16T12:19:10.797521246Z,R3SP,post,30.9999997
SG,1,18,,2021-03-16T12:19:25.422710738Z,2021-03-16T12:19:30.172644501Z,R3SP,post,4.999999912
SG,1,18,,2021-03-16T12:19:41.047757093Z,2021-03-16T12:19:53.422823029Z,R3SP,post,11.99999966
SG,1,18,,2021-03-16T12:19:57.547940076Z,2021-03-16T12:20:12.798031048Z,R3SP,post,14.99999973
SG,1,18,,2021-03-16T12:23:02.799178541Z,2021-03-16T12:23:06.424220166Z,R3SP,post,4.000000306
A,1,18,7,2021-03-16T12:23:10.924252063Z,2021-03-16T12:23:14.424288401Z,R3SP,post,4.000000306
SG,1,18,,2021-03-16T12:24:20.049756642Z,2021-03-16T12:24:22.549762649Z,R3SP,post,1.999999839
G,1,18,5,2021-03-16T12:25:50.550398963Z,2021-03-16T12:26:41.300725876Z,R3SP,post,50.99999998
SG,1,18,,2021-03-16T12:26:43.425772688Z,2021-03-16T12:26:46.550752174Z,R3SP,post,3.000000073
SG,1,8,,2021-03-16T12:27:20.676049230Z,2021-03-16T12:27:37.301148660Z,R3SP,post,17.0000002
SG,1,19,,2021-03-16T12:13:23.295151420Z,2021-03-16T12:14:10.045489750Z,R3SP,post,47.0000003
SG,1,19,,2021-03-16T12:14:18.545634850Z,2021-03-16T12:14:34.545626620Z,R3SP,post,15.99999997
TB,1,19,,2021-03-16T12:19:18.422644804Z,2021-03-16T12:19:27.422681212Z,R3SP,post,9.000000218
SG,1,19,,2021-03-16T12:19:48.047821840Z,2021-03-16T12:19:56.422885905Z,R3SP,post,7.999999984
TB,1,19,,2021-03-16T12:19:57.547940076Z,2021-03-16T12:20:06.422968691Z,R3SP,post,9.000000218
SG,1,19,,2021-03-16T12:21:01.423352269Z,2021-03-16T12:21:05.173377800Z,R3SP,post,4.000000306
TB,1,19,,2021-03-16T12:21:15.048520740Z,2021-03-16T12:21:40.673637005Z,R3SP,post,25.00000019
SG,1,19,,2021-03-16T12:21:47.798674290Z,2021-03-16T12:21:55.923737208Z,R3SP,post,7.999999984
TB,1,19,,2021-03-16T12:22:12.923855047Z,2021-03-16T12:22:19.173842997Z,R3SP,post,6.99999975
CR,1,20,14,2021-03-16T12:15:34.296090322Z,2021-03-16T12:15:43.671134680Z,R3SP,post,8.999999589
G,1,20,17,2021-03-16T12:16:13.296355954Z,2021-03-16T12:16:16.296383185Z,R3SP,post,3.000000073
SG,1,20,,2021-03-16T12:16:25.546413183Z,2021-03-16T12:16:33.296530247Z,R3SP,post,7.999999984
SG,1,20,,2021-03-16T12:16:45.046582709Z,2021-03-16T12:17:09.546783459Z,R3SP,post,23.99999995
SG,1,20,,2021-03-16T12:17:27.671864630Z,2021-03-16T12:17:58.672041501Z,R3SP,post,30.9999997
T,1,4,20,2021-03-16T12:19:42.047811152Z,2021-03-16T12:19:50.172854242Z,R3SP,post,7.999999984
FR,1,4,20,2021-03-16T12:23:49.799535132Z,2021-03-16T12:23:53.299506159Z,R3SP,post,3.999999678
SG,1,20,,2021-03-16T12:24:55.049999049Z,2021-03-16T12:25:01.175041039Z,R3SP,post,6.000000145
CR,1,7,21,2021-03-16T12:13:44.795260079Z,2021-03-16T12:14:15.670598152Z,R3SP,post,30.9999997
SG,1,22,,2021-03-16T12:13:21.670072093Z,2021-03-16T12:13:40.795287727Z,R3SP,post,19.00000004
TB,1,22,,2021-03-16T12:13:43.170301773Z,2021-03-16T12:14:18.045628091Z,R3SP,post,35.00000001
TB,1,22,,2021-03-16T12:17:15.546799419Z,2021-03-16T12:18:20.047169917Z,R3SP,post,65.00000011
TB,1,22,,2021-03-16T12:19:30.547703280Z,2021-03-16T12:19:57.922908873Z,R3SP,post,27.00000003
SG,1,22,,2021-03-16T12:20:33.673102668Z,2021-03-16T12:20:36.423166711Z,R3SP,post,2.999999444
TB,1,22,,2021-03-16T12:20:51.673268176Z,2021-03-16T12:21:03.173291435Z,R3SP,post,11.99999966
T,1,22,4,2021-03-16T12:21:35.298579840Z,2021-03-16T12:21:46.798715162Z,R3SP,post,11.00000006
SG,1,22,,2021-03-16T12:21:56.798759174Z,2021-03-16T12:22:34.424009341Z,R3SP,post,38.00000008
SG,1,22,,2021-03-16T12:23:24.924351774Z,2021-03-16T12:23:39.549544802Z,R3SP,post,14.99999973
TB,1,22,,2021-03-16T12:23:49.299479227Z,2021-03-16T12:24:53.049982401Z,R3SP,post,63.99999987
SG,1,22,,2021-03-16T12:24:53.049982401Z,2021-03-16T12:26:03.300487401Z,R3SP,post,70.00000002
SG,1,22,,2021-03-16T12:26:08.175527920Z,2021-03-16T12:26:22.175568026Z,R3SP,post,14.00000013
TB,1,22,,2021-03-16T12:26:23.550597693Z,2021-03-16T12:27:06.550932336Z,R3SP,post,42.99999999
SG,1,22,,2021-03-16T12:27:08.676027183Z,2021-03-16T12:27:23.926124829Z,R3SP,post,14.99999973
TB,1,22,,2021-03-16T12:27:23.926124829Z,2021-03-16T12:27:29.176099509Z,R3SP,post,6.000000145
SG,1,22,,2021-03-16T12:27:29.176099509Z,2021-03-16T12:27:53.426364375Z,R3SP,post,23.99999995
SG,1,23,,2021-03-16T12:13:24.045162556Z,2021-03-16T12:13:30.795216445Z,R3SP,post,6.000000145
G,1,23,5,2021-03-16T12:13:35.045248967Z,2021-03-16T12:13:45.295310756Z,R3SP,post,9.999999823
G,1,23,5,2021-03-16T12:13:49.795348402Z,2021-03-16T12:13:58.795357048Z,R3SP,post,8.999999589
A,1,23,5,2021-03-16T12:14:00.420432044Z,2021-03-16T12:14:02.795388702Z,R3SP,post,1.999999839
G,1,23,17,2021-03-16T12:14:20.920574587Z,2021-03-16T12:14:27.545628334Z,R3SP,post,7.000000379
A,1,23,17,2021-03-16T12:14:27.295608111Z,2021-03-16T12:14:38.295644065Z,R3SP,post,11.00000006
G,1,23,17,2021-03-16T12:14:40.420656092Z,2021-03-16T12:14:46.295740202Z,R3SP,post,6.000000145
G,1,23,17,2021-03-16T12:16:50.921552663Z,2021-03-16T12:17:02.296629230Z,R3SP,post,12.00000029
SG,1,23,,2021-03-16T12:17:23.796821376Z,2021-03-16T12:17:44.296979232Z,R3SP,post,20.99999988
CR,1,23,17,2021-03-16T12:17:56.172048669Z,2021-03-16T12:17:59.297075861Z,R3SP,post,3.000000073
G,1,23,5,2021-03-16T12:22:01.173719822Z,2021-03-16T12:22:34.549023519Z,R3SP,post,33.00000017
SG,1,23,,2021-03-16T12:22:52.799140751Z,2021-03-16T12:22:55.549115333Z,R3SP,post,3.000000073
FR,1,23,8,2021-03-16T12:24:01.049620686Z,2021-03-16T12:24:07.174641275Z,R3SP,post,6.000000145
FR,1,23,8,2021-03-16T12:24:30.049827161Z,2021-03-16T12:24:42.799872855Z,R3SP,post,12.00000029
CR,1,23,8,2021-03-16T12:25:12.425133423Z,2021-03-16T12:25:57.050397877Z,R3SP,post,44.99999983
SG,1,24,,2021-03-16T12:13:54.420348393Z,2021-03-16T12:14:11.920495872Z,R3SP,post,17.0000002
GQ,1,24,29,2021-03-16T12:17:17.671790430Z,2021-03-16T12:17:19.546823848Z,R3SP,post,2.000000468
SG,1,24,,2021-03-16T12:18:31.797296856Z,2021-03-16T12:18:38.797363126Z,R3SP,post,6.99999975
SG,1,24,,2021-03-16T12:19:06.172543374Z,2021-03-16T12:19:16.547616128Z,R3SP,post,9.999999823
A,1,24,4,2021-03-16T12:21:46.173664040Z,2021-03-16T12:21:49.548772272Z,R3SP,post,3.000000073
G,1,24,5,2021-03-16T12:23:17.799298312Z,2021-03-16T12:25:47.050314102Z,R3SP,post,149.9999999
SG,1,24,,2021-03-16T12:25:52.300407574Z,2021-03-16T12:26:13.050487332Z,R3SP,post,20.99999988
CR,1,24,17,2021-03-16T12:27:03.675904868Z,2021-03-16T12:27:12.925990796Z,R3SP,post,9.000000218
G,1,24,17,2021-03-16T12:27:12.925990796Z,2021-03-16T12:27:58.176301183Z,R3SP,post,46.00000007
SG,1,24,,2021-03-16T12:28:01.551421740Z,2021-03-16T12:28:04.301437819Z,R3SP,post,3.000000073
SG,1,24,,2021-03-16T12:28:08.051388267Z,2021-03-16T12:28:22.176489693Z,R3SP,post,14.00000013
CR,1,25,27,2021-03-16T12:15:32.046074947Z,2021-03-16T12:17:34.421854127Z,R3SP,post,122.0000002
CR,1,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP,post,71.99999986
SG,1,25,,2021-03-16T12:21:05.923332154Z,2021-03-16T12:21:10.298477668Z,R3SP,post,4.999999912
G,1,26,17,2021-03-16T12:13:22.045100744Z,2021-03-16T12:14:29.170660433Z,R3SP,post,66.99999995
SG,1,26,,2021-03-16T12:14:38.420699944Z,2021-03-16T12:14:42.045718221Z,R3SP,post,3.999999678
G,1,26,17,2021-03-16T12:14:42.920693346Z,2021-03-16T12:15:44.671107482Z,R3SP,post,62.00000003
SG,1,26,,2021-03-16T12:15:46.921168977Z,2021-03-16T12:15:52.421200493Z,R3SP,post,6.000000145
G,1,26,17,2021-03-16T12:16:02.796223912Z,2021-03-16T12:16:16.796392624Z,R3SP,post,14.00000013
G,1,26,17,2021-03-16T12:16:56.796653335Z,2021-03-16T12:17:13.296772174Z,R3SP,post,17.0000002
G,1,26,17,2021-03-16T12:17:16.046748403Z,2021-03-16T12:17:22.546824029Z,R3SP,post,6.000000145
A,1,26,17,2021-03-16T12:17:22.546824029Z,2021-03-16T12:17:24.171835315Z,R3SP,post,1.999999839
G,1,26,17,2021-03-16T12:17:26.171797232Z,2021-03-16T12:17:47.672011526Z,R3SP,post,20.99999988
A,1,26,17,2021-03-16T12:17:49.297018647Z,2021-03-16T12:17:50.921968859Z,R3SP,post,1.000000234
G,1,26,17,2021-03-16T12:17:53.672044709Z,2021-03-16T12:18:19.172162274Z,R3SP,post,25.99999979
SG,1,26,,2021-03-16T12:18:22.672246910Z,2021-03-16T12:18:25.422254263Z,R3SP,post,3.000000073
SG,1,26,,2021-03-16T12:18:37.797346027Z,2021-03-16T12:18:43.422382047Z,R3SP,post,5.999999517
FR,1,26,1,2021-03-16T12:18:49.672427106Z,2021-03-16T12:18:51.547438394Z,R3SP,post,1.999999839
G,1,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP,post,15.99999997
G,1,26,9,2021-03-16T12:21:17.798495294Z,2021-03-16T12:21:28.798617654Z,R3SP,post,11.00000006
SG,1,26,,2021-03-16T12:21:42.423632684Z,2021-03-16T12:21:51.173715363Z,R3SP,post,9.000000218
SG,1,26,,2021-03-16T12:26:52.925827756Z,2021-03-16T12:26:54.175881306Z,R3SP,post,1.999999839
SG,1,27,,2021-03-16T12:13:28.920124452Z,2021-03-16T12:14:09.045435141Z,R3SP,post,40.99999953
CR,1,25,27,2021-03-16T12:15:32.046074947Z,2021-03-16T12:17:34.421854127Z,R3SP,post,122.0000002
CR,1,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP,post,71.99999986
CR,1,13,27,2021-03-16T12:21:22.298427890Z,2021-03-16T12:23:19.174460565Z,R3SP,post,117.0000003
FR,1,28,4,2021-03-16T12:14:20.545606687Z,2021-03-16T12:14:22.920532773Z,R3SP,post,1.999999839
SG,1,28,,2021-03-16T12:14:34.420611085Z,2021-03-16T12:15:01.295885552Z,R3SP,post,27.00000003
SG,1,29,,2021-03-16T12:13:21.920107455Z,2021-03-16T12:13:29.795189659Z,R3SP,post,7.999999984
GQ,1,24,29,2021-03-16T12:17:17.671790430Z,2021-03-16T12:17:19.546823848Z,R3SP,post,2.000000468
TQ,1,16,29,2021-03-16T12:27:07.801273829Z,2021-03-16T12:27:24.551057851Z,R3SP,post,17.0000002
